Data subject to revision,,,,,,,,,,,,,,,,,,,,
scroll down to see earlier years,,,,,,,,,,,,,,,,,,,,
,,,LABOR,,       UNEMPLOYED,,,,,,,,,,,,,,,
COUNTY,FIPS,YEAR,FORCE,EMPLOYED,NUMBER,RATE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CLINTON COUNTY,27,1995,"16,832","16,096",736,4.4,,,,,,,,,,,,,,
COLES COUNTY,29,1995,"27,579","26,591",988,3.6,,,,,,,,,,,,,,
COOK COUNTY,31,1995,"2,657,730","2,499,818","157,912",5.9,,,,,,,,,,,,,,
CRAWFORD COUNTY,33,1995,"9,602","8,935",667,6.9,,,,,,,,,,,,,,
CUMBERLAND COUNTY,35,1995,"5,638","5,385",253,4.5,,,,,,,,,,,,,,
DEKALB COUNTY,37,1995,"45,610","43,914","1,696",3.7,,,,,,,,,,,,,,
DE WITT COUNTY,39,1995,"9,386","8,975",411,4.4,,,,,,,,,,,,,,
DOUGLAS COUNTY,41,1995,"11,539","11,134",405,3.5,,,,,,,,,,,,,,
DUPAGE COUNTY,43,1995,"506,107","487,741","18,366",3.6,,,,,,,,,,,,,,
EDGAR COUNTY,45,1995,"9,772","9,359",413,4.2,,,,,,,,,,,,,,
EDWARDS COUNTY,47,1995,"3,686","3,493",193,5.2,,,,,,,,,,,,,,
EFFINGHAM COUNTY,49,1995,"17,999","17,290",709,3.9,,,,,,,,,,,,,,
FAYETTE COUNTY,51,1995,"9,975","9,413",562,5.6,,,,,,,,,,,,,,
FORD COUNTY,53,1995,"6,928","6,627",301,4.3,,,,,,,,,,,,,,
FRANKLIN COUNTY,55,1995,"16,351","14,707","1,644",10.1,,,,,,,,,,,,,,
FULTON COUNTY,57,1995,"14,753","13,757",996,6.8,,,,,,,,,,,,,,
GALLATIN COUNTY,59,1995,"2,850","2,585",265,9.3,,,,,,,,,,,,,,
GREENE COUNTY,61,1995,"6,981","6,608",373,5.3,,,,,,,,,,,,,,
GRUNDY COUNTY,63,1995,"18,495","16,987","1,508",8.2,,,,,,,,,,,,,,
HAMILTON COUNTY,65,1995,"3,603","3,313",290,8.0,,,,,,,,,,,,,,
HANCOCK COUNTY,67,1995,"12,312","11,819",493,4.0,,,,,,,,,,,,,,
HARDIN COUNTY,69,1995,"1,867","1,746",121,6.5,,,,,,,,,,,,,,
HENDERSON COUNTY,71,1995,"4,750","4,582",168,3.5,,,,,,,,,,,,,,
HENRY COUNTY,73,1995,"25,736","24,582","1,154",4.5,,,,,,,,,,,,,,
IROQUOIS COUNTY,75,1995,"17,568","16,751",817,4.7,,,,,,,,,,,,,,
JACKSON COUNTY,77,1995,"28,818","27,411","1,407",4.9,,,,,,,,,,,,,,
JASPER COUNTY,79,1995,"4,727","4,493",234,5.0,,,,,,,,,,,,,,
JEFFERSON COUNTY,81,1995,"18,091","16,914","1,177",6.5,,,,,,,,,,,,,,
JERSEY COUNTY,83,1995,"10,256","9,689",567,5.5,,,,,,,,,,,,,,
JO DAVIESS COUNTY,85,1995,"13,506","12,980",526,3.9,,,,,,,,,,,,,,
JOHNSON COUNTY,87,1995,"4,526","4,171",355,7.8,,,,,,,,,,,,,,
KANE COUNTY,89,1995,"199,838","190,498","9,340",4.7,,,,,,,,,,,,,,
KANKAKEE COUNTY,91,1995,"52,313","49,276","3,037",5.8,,,,,,,,,,,,,,
KENDALL COUNTY,93,1995,"25,835","24,765","1,070",4.1,,,,,,,,,,,,,,
KNOX COUNTY,95,1995,"28,643","27,369","1,274",4.4,,,,,,,,,,,,,,
LAKE COUNTY,97,1995,"305,213","294,225","10,988",3.6,,,,,,,,,,,,,,
LASALLE COUNTY,99,1995,"54,793","50,904","3,889",7.1,,,,,,,,,,,,,,
LAWRENCE COUNTY,101,1995,"6,967","6,435",532,7.6,,,,,,,,,,,,,,
LEE COUNTY,103,1995,"17,383","16,612",771,4.4,,,,,,,,,,,,,,
LIVINGSTON COUNTY,105,1995,"19,316","18,668",648,3.4,,,,,,,,,,,,,,
LOGAN COUNTY,107,1995,"12,865","12,339",526,4.1,,,,,,,,,,,,,,
MCDONOUGH COUNTY,109,1995,"18,761","18,329",432,2.3,,,,,,,,,,,,,,
MCHENRY COUNTY,111,1995,"126,843","121,453","5,390",4.2,,,,,,,,,,,,,,
MCLEAN COUNTY,113,1995,"79,960","77,852","2,108",2.6,,,,,,,,,,,,,,
MACON COUNTY,115,1995,"60,597","56,460","4,137",6.8,,,,,,,,,,,,,,
MACOUPIN COUNTY,117,1995,"22,708","21,412","1,296",5.7,,,,,,,,,,,,,,
MADISON COUNTY,119,1995,"126,054","119,559","6,495",5.2,,,,,,,,,,,,,,
MARION COUNTY,121,1995,"21,197","19,630","1,567",7.4,,,,,,,,,,,,,,
MARSHALL COUNTY,123,1995,"6,405","6,124",281,4.4,,,,,,,,,,,,,,
MASON COUNTY,125,1995,"8,077","7,571",506,6.3,,,,,,,,,,,,,,
MASSAC COUNTY,127,1995,"7,809","7,436",373,4.8,,,,,,,,,,,,,,
MENARD COUNTY,129,1995,"6,035","5,799",236,3.9,,,,,,,,,,,,,,
MERCER COUNTY,131,1995,"8,408","7,931",477,5.7,,,,,,,,,,,,,,
MONROE COUNTY,133,1995,"12,821","12,399",422,3.3,,,,,,,,,,,,,,
MONTGOMERY COUNTY,135,1995,"14,475","13,469","1,006",6.9,,,,,,,,,,,,,,
MORGAN COUNTY,137,1995,"18,276","17,414",862,4.7,,,,,,,,,,,,,,
MOULTRIE COUNTY,139,1995,"7,983","7,658",325,4.1,,,,,,,,,,,,,,
OGLE COUNTY,141,1995,"27,390","26,215","1,175",4.3,,,,,,,,,,,,,,
PEORIA COUNTY,143,1995,"94,018","90,076","3,942",4.2,,,,,,,,,,,,,,
PERRY COUNTY,145,1995,"7,882","7,070",812,10.3,,,,,,,,,,,,,,
PIATT COUNTY,147,1995,"7,913","7,515",398,5.0,,,,,,,,,,,,,,
PIKE COUNTY,149,1995,"8,755","8,303",452,5.2,,,,,,,,,,,,,,
POPE COUNTY,151,1995,"1,647","1,541",106,6.4,,,,,,,,,,,,,,
PULASKI COUNTY,153,1995,"2,845","2,555",290,10.2,,,,,,,,,,,,,,
PUTNAM COUNTY,155,1995,"3,057","2,874",183,6.0,,,,,,,,,,,,,,
RANDOLPH COUNTY,157,1995,"14,235","13,333",902,6.3,,,,,,,,,,,,,,
RICHLAND COUNTY,159,1995,"9,763","9,384",379,3.9,,,,,,,,,,,,,,
ROCK ISLAND COUNTY,161,1995,"72,991","69,589","3,402",4.7,,,,,,,,,,,,,,
ST. CLAIR COUNTY,163,1995,"116,217","109,757","6,460",5.6,,,,,,,,,,,,,,
SALINE COUNTY,165,1995,"10,618","9,494","1,124",10.6,,,,,,,,,,,,,,
SANGAMON COUNTY,167,1995,"101,284","97,258","4,026",4.0,,,,,,,,,,,,,,
SCHUYLER COUNTY,169,1995,"3,854","3,659",195,5.1,,,,,,,,,,,,,,
SCOTT COUNTY,171,1995,"2,758","2,592",166,6.0,,,,,,,,,,,,,,
SHELBY COUNTY,173,1995,"11,502","10,934",568,4.9,,,,,,,,,,,,,,
STARK COUNTY,175,1995,"2,877","2,726",151,5.2,,,,,,,,,,,,,,
STEPHENSON COUNTY,177,1995,"25,542","24,376","1,166",4.6,,,,,,,,,,,,,,
TAZEWELL COUNTY,179,1995,"68,553","65,834","2,719",4.0,,,,,,,,,,,,,,
UNION COUNTY,181,1995,"7,957","7,345",612,7.7,,,,,,,,,,,,,,
VERMILION COUNTY,183,1995,"40,473","37,602","2,871",7.1,,,,,,,,,,,,,,
WABASH COUNTY,185,1995,"5,489","5,130",359,6.5,,,,,,,,,,,,,,
WARREN COUNTY,187,1995,"9,848","9,417",431,4.4,,,,,,,,,,,,,,
WASHINGTON COUNTY,189,1995,"8,010","7,697",313,3.9,,,,,,,,,,,,,,
WAYNE COUNTY,191,1995,"8,195","7,728",467,5.7,,,,,,,,,,,,,,
WHITE COUNTY,193,1995,"7,490","6,981",509,6.8,,,,,,,,,,,,,,
WHITESIDE COUNTY,195,1995,"31,087","29,918","1,169",3.8,,,,,,,,,,,,,,
WILL COUNTY,197,1995,"219,174","207,112","12,062",5.5,,,,,,,,,,,,,,
WILLIAMSON COUNTY,199,1995,"26,958","24,864","2,094",7.8,,,,,,,,,,,,,,
WINNEBAGO COUNTY,201,1995,"146,434","141,032","5,402",3.7,,,,,,,,,,,,,,
WOODFORD COUNTY,203,1995,"18,207","17,788",419,2.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ADAMS COUNTY,1,1994,"35,824","34,504","1,320",3.7,,,,,,,,,,,,,,
ALEXANDER COUNTY,3,1994,"3,937","3,501",436,11.1,,,,,,,,,,,,,,
BOND COUNTY,5,1994,"7,712","7,285",427,5.5,,,,,,,,,,,,,,
BOONE COUNTY,7,1994,"19,269","18,237","1,032",5.4,,,,,,,,,,,,,,
BROWN COUNTY,9,1994,"2,710","2,604",106,3.9,,,,,,,,,,,,,,
BUREAU COUNTY,11,1994,"18,702","17,706",996,5.3,,,,,,,,,,,,,,
CALHOUN COUNTY,13,1994,"2,875","2,667",208,7.2,,,,,,,,,,,,,,
CARROLL COUNTY,15,1994,"8,808","8,334",474,5.4,,,,,,,,,,,,,,
CASS COUNTY,17,1994,"7,194","6,826",368,5.1,,,,,,,,,,,,,,
CHAMPAIGN COUNTY,19,1994,"93,084","90,054","3,030",3.3,,,,,,,,,,,,,,
CHRISTIAN COUNTY,21,1994,"19,769","18,581","1,188",6.0,,,,,,,,,,,,,,
CLARK COUNTY,23,1994,"9,472","9,042",430,4.5,,,,,,,,,,,,,,
CLAY COUNTY,25,1994,"6,673","6,179",494,7.4,,,,,,,,,,,,,,
CLINTON COUNTY,27,1994,"16,770","15,957",813,4.8,,,,,,,,,,,,,,
COLES COUNTY,29,1994,"27,048","26,075",973,3.6,,,,,,,,,,,,,,
COOK COUNTY,31,1994,"2,645,707","2,471,602","174,105",6.6,,,,,,,,,,,,,,
CRAWFORD COUNTY,33,1994,"9,834","9,086",748,7.6,,,,,,,,,,,,,,
CUMBERLAND COUNTY,35,1994,"5,428","5,175",253,4.7,,,,,,,,,,,,,,
DEKALB COUNTY,37,1994,"44,042","42,121","1,921",4.4,,,,,,,,,,,,,,
DE WITT COUNTY,39,1994,"9,315","8,825",490,5.3,,,,,,,,,,,,,,
DOUGLAS COUNTY,41,1994,"11,234","10,714",520,4.6,,,,,,,,,,,,,,
DUPAGE COUNTY,43,1994,"495,531","474,823","20,708",4.2,,,,,,,,,,,,,,
EDGAR COUNTY,45,1994,"9,296","8,744",552,5.9,,,,,,,,,,,,,,
EDWARDS COUNTY,47,1994,"3,897","3,671",226,5.8,,,,,,,,,,,,,,
EFFINGHAM COUNTY,49,1994,"17,335","16,544",791,4.6,,,,,,,,,,,,,,
FAYETTE COUNTY,51,1994,"10,034","9,385",649,6.5,,,,,,,,,,,,,,
FORD COUNTY,53,1994,"6,966","6,578",388,5.6,,,,,,,,,,,,,,
FRANKLIN COUNTY,55,1994,"16,597","14,821","1,776",10.7,,,,,,,,,,,,,,
FULTON COUNTY,57,1994,"14,795","13,737","1,058",7.2,,,,,,,,,,,,,,
GALLATIN COUNTY,59,1994,"3,018","2,614",404,13.4,,,,,,,,,,,,,,
GREENE COUNTY,61,1994,"7,038","6,677",361,5.1,,,,,,,,,,,,,,
GRUNDY COUNTY,63,1994,"18,086","16,541","1,545",8.5,,,,,,,,,,,,,,
HAMILTON COUNTY,65,1994,"3,577","3,203",374,10.5,,,,,,,,,,,,,,
HANCOCK COUNTY,67,1994,"12,083","11,591",492,4.1,,,,,,,,,,,,,,
HARDIN COUNTY,69,1994,"1,915","1,764",151,7.9,,,,,,,,,,,,,,
HENDERSON COUNTY,71,1994,"4,783","4,578",205,4.3,,,,,,,,,,,,,,
HENRY COUNTY,73,1994,"25,563","24,364","1,199",4.7,,,,,,,,,,,,,,
IROQUOIS COUNTY,75,1994,"17,776","17,073",703,4.0,,,,,,,,,,,,,,
JACKSON COUNTY,77,1994,"29,364","27,781","1,583",5.4,,,,,,,,,,,,,,
JASPER COUNTY,79,1994,"4,920","4,653",267,5.4,,,,,,,,,,,,,,
JEFFERSON COUNTY,81,1994,"17,869","16,472","1,397",7.8,,,,,,,,,,,,,,
JERSEY COUNTY,83,1994,"10,094","9,584",510,5.1,,,,,,,,,,,,,,
JO DAVIESS COUNTY,85,1994,"13,421","12,961",460,3.4,,,,,,,,,,,,,,
JOHNSON COUNTY,87,1994,"4,433","4,017",416,9.4,,,,,,,,,,,,,,
KANE COUNTY,89,1994,"187,071","176,254","10,817",5.8,,,,,,,,,,,,,,
KANKAKEE COUNTY,91,1994,"51,572","48,320","3,252",6.3,,,,,,,,,,,,,,
KENDALL COUNTY,93,1994,"24,792","23,593","1,199",4.8,,,,,,,,,,,,,,
KNOX COUNTY,95,1994,"29,033","27,622","1,411",4.9,,,,,,,,,,,,,,
LAKE COUNTY,97,1994,"299,088","285,565","13,523",4.5,,,,,,,,,,,,,,
LASALLE COUNTY,99,1994,"55,029","50,840","4,189",7.6,,,,,,,,,,,,,,
LAWRENCE COUNTY,101,1994,"7,140","6,584",556,7.8,,,,,,,,,,,,,,
LEE COUNTY,103,1994,"17,365","16,611",754,4.3,,,,,,,,,,,,,,
LIVINGSTON COUNTY,105,1994,"19,638","19,003",635,3.2,,,,,,,,,,,,,,
LOGAN COUNTY,107,1994,"13,210","12,661",549,4.2,,,,,,,,,,,,,,
MCDONOUGH COUNTY,109,1994,"18,964","18,495",469,2.5,,,,,,,,,,,,,,
MCHENRY COUNTY,111,1994,"121,004","114,951","6,053",5.0,,,,,,,,,,,,,,
MCLEAN COUNTY,113,1994,"78,905","76,820","2,085",2.6,,,,,,,,,,,,,,
MACON COUNTY,115,1994,"60,548","56,187","4,361",7.2,,,,,,,,,,,,,,
MACOUPIN COUNTY,117,1994,"22,657","21,263","1,394",6.2,,,,,,,,,,,,,,
MADISON COUNTY,119,1994,"125,615","119,161","6,454",5.1,,,,,,,,,,,,,,
MARION COUNTY,121,1994,"20,941","19,319","1,622",7.7,,,,,,,,,,,,,,
MARSHALL COUNTY,123,1994,"6,529","6,210",319,4.9,,,,,,,,,,,,,,
MASON COUNTY,125,1994,"8,377","7,804",573,6.8,,,,,,,,,,,,,,
MASSAC COUNTY,127,1994,"7,558","7,144",414,5.5,,,,,,,,,,,,,,
MENARD COUNTY,129,1994,"6,147","5,908",239,3.9,,,,,,,,,,,,,,
MERCER COUNTY,131,1994,"8,543","8,018",525,6.1,,,,,,,,,,,,,,
MONROE COUNTY,133,1994,"12,467","12,059",408,3.3,,,,,,,,,,,,,,
MONTGOMERY COUNTY,135,1994,"14,455","13,434","1,021",7.1,,,,,,,,,,,,,,
MORGAN COUNTY,137,1994,"18,586","17,815",771,4.1,,,,,,,,,,,,,,
MOULTRIE COUNTY,139,1994,"7,975","7,623",352,4.4,,,,,,,,,,,,,,
OGLE COUNTY,141,1994,"26,623","25,301","1,322",5.0,,,,,,,,,,,,,,
PEORIA COUNTY,143,1994,"92,868","88,645","4,223",4.5,,,,,,,,,,,,,,
PERRY COUNTY,145,1994,"7,764","6,816",948,12.2,,,,,,,,,,,,,,
PIATT COUNTY,147,1994,"8,290","7,838",452,5.5,,,,,,,,,,,,,,
PIKE COUNTY,149,1994,"8,761","8,295",466,5.3,,,,,,,,,,,,,,
POPE COUNTY,151,1994,"1,700","1,524",176,10.4,,,,,,,,,,,,,,
PULASKI COUNTY,153,1994,"2,796","2,524",272,9.7,,,,,,,,,,,,,,
PUTNAM COUNTY,155,1994,"3,096","2,893",203,6.6,,,,,,,,,,,,,,
RANDOLPH COUNTY,157,1994,"14,580","13,413","1,167",8.0,,,,,,,,,,,,,,
RICHLAND COUNTY,159,1994,"10,009","9,549",460,4.6,,,,,,,,,,,,,,
ROCK ISLAND COUNTY,161,1994,"73,352","69,680","3,672",5.0,,,,,,,,,,,,,,
ST. CLAIR COUNTY,163,1994,"116,939","109,730","7,209",6.2,,,,,,,,,,,,,,
SALINE COUNTY,165,1994,"11,038","9,616","1,422",12.9,,,,,,,,,,,,,,
SANGAMON COUNTY,167,1994,"101,147","97,144","4,003",4.0,,,,,,,,,,,,,,
SCHUYLER COUNTY,169,1994,"3,737","3,536",201,5.4,,,,,,,,,,,,,,
SCOTT COUNTY,171,1994,"2,761","2,625",136,4.9,,,,,,,,,,,,,,
SHELBY COUNTY,173,1994,"11,019","10,491",528,4.8,,,,,,,,,,,,,,
STARK COUNTY,175,1994,"2,884","2,736",148,5.1,,,,,,,,,,,,,,
STEPHENSON COUNTY,177,1994,"25,800","24,480","1,320",5.1,,,,,,,,,,,,,,
TAZEWELL COUNTY,179,1994,"67,037","64,059","2,978",4.4,,,,,,,,,,,,,,
UNION COUNTY,181,1994,"8,212","7,398",814,9.9,,,,,,,,,,,,,,
VERMILION COUNTY,183,1994,"41,302","38,090","3,212",7.8,,,,,,,,,,,,,,
WABASH COUNTY,185,1994,"6,062","5,581",481,7.9,,,,,,,,,,,,,,
WARREN COUNTY,187,1994,"9,975","9,420",555,5.6,,,,,,,,,,,,,,
WASHINGTON COUNTY,189,1994,"7,853","7,481",372,4.7,,,,,,,,,,,,,,
WAYNE COUNTY,191,1994,"8,323","7,726",597,7.2,,,,,,,,,,,,,,
WHITE COUNTY,193,1994,"7,419","6,789",630,8.5,,,,,,,,,,,,,,
WHITESIDE COUNTY,195,1994,"31,173","29,901","1,272",4.1,,,,,,,,,,,,,,
WILL COUNTY,197,1994,"209,402","196,494","12,908",6.2,,,,,,,,,,,,,,
WILLIAMSON COUNTY,199,1994,"27,114","24,608","2,506",9.2,,,,,,,,,,,,,,
WINNEBAGO COUNTY,201,1994,"144,868","137,379","7,489",5.2,,,,,,,,,,,,,,
WOODFORD COUNTY,203,1994,"17,742","17,266",476,2.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ADAMS COUNTY,1,1993,"35,672","33,560","2,112",5.9,,,,,,,,,,,,,,
ALEXANDER COUNTY,3,1993,"4,179","3,665",514,12.3,,,,,,,,,,,,,,
BOND COUNTY,5,1993,"7,551","7,016",535,7.1,,,,,,,,,,,,,,
BOONE COUNTY,7,1993,"19,316","17,142","2,174",11.3,,,,,,,,,,,,,,
BROWN COUNTY,9,1993,"2,542","2,409",133,5.2,,,,,,,,,,,,,,
BUREAU COUNTY,11,1993,"18,859","17,667","1,192",6.3,,,,,,,,,,,,,,
CALHOUN COUNTY,13,1993,"2,855","2,472",383,13.4,,,,,,,,,,,,,,
CARROLL COUNTY,15,1993,"8,827","8,239",588,6.7,,,,,,,,,,,,,,
CASS COUNTY,17,1993,"7,369","6,912",457,6.2,,,,,,,,,,,,,,
CHAMPAIGN COUNTY,19,1993,"94,348","90,296","4,052",4.3,,,,,,,,,,,,,,
CHRISTIAN COUNTY,21,1993,"18,414","17,158","1,256",6.8,,,,,,,,,,,,,,
CLARK COUNTY,23,1993,"9,593","9,077",516,5.4,,,,,,,,,,,,,,
CLAY COUNTY,25,1993,"6,656","6,106",550,8.3,,,,,,,,,,,,,,
CLINTON COUNTY,27,1993,"16,712","15,635","1,077",6.4,,,,,,,,,,,,,,
COLES COUNTY,29,1993,"26,816","25,481","1,335",5.0,,,,,,,,,,,,,,
COOK COUNTY,31,1993,"2,636,393","2,410,985","225,408",8.5,,,,,,,,,,,,,,
CRAWFORD COUNTY,33,1993,"10,644","9,968",676,6.4,,,,,,,,,,,,,,
CUMBERLAND COUNTY,35,1993,"5,353","5,024",329,6.1,,,,,,,,,,,,,,
DEKALB COUNTY,37,1993,"43,829","41,190","2,639",6.0,,,,,,,,,,,,,,
DE WITT COUNTY,39,1993,"9,564","8,975",589,6.2,,,,,,,,,,,,,,
DOUGLAS COUNTY,41,1993,"10,722","10,073",649,6.1,,,,,,,,,,,,,,
DUPAGE COUNTY,43,1993,"481,359","454,734","26,625",5.5,,,,,,,,,,,,,,
EDGAR COUNTY,45,1993,"8,961","8,276",685,7.6,,,,,,,,,,,,,,
EDWARDS COUNTY,47,1993,"3,739","3,516",223,6.0,,,,,,,,,,,,,,
EFFINGHAM COUNTY,49,1993,"17,124","16,056","1,068",6.2,,,,,,,,,,,,,,
FAYETTE COUNTY,51,1993,"10,312","9,509",803,7.8,,,,,,,,,,,,,,
FORD COUNTY,53,1993,"6,996","6,521",475,6.8,,,,,,,,,,,,,,
FRANKLIN COUNTY,55,1993,"16,798","14,665","2,133",12.7,,,,,,,,,,,,,,
FULTON COUNTY,57,1993,"15,144","13,736","1,408",9.3,,,,,,,,,,,,,,
GALLATIN COUNTY,59,1993,"3,032","2,631",401,13.2,,,,,,,,,,,,,,
GREENE COUNTY,61,1993,"7,093","6,666",427,6.0,,,,,,,,,,,,,,
GRUNDY COUNTY,63,1993,"17,934","15,919","2,015",11.2,,,,,,,,,,,,,,
HAMILTON COUNTY,65,1993,"3,751","3,341",410,10.9,,,,,,,,,,,,,,
HANCOCK COUNTY,67,1993,"11,387","10,707",680,6.0,,,,,,,,,,,,,,
HARDIN COUNTY,69,1993,"1,978","1,789",189,9.6,,,,,,,,,,,,,,
HENDERSON COUNTY,71,1993,"4,916","4,622",294,6.0,,,,,,,,,,,,,,
HENRY COUNTY,73,1993,"25,996","24,461","1,535",5.9,,,,,,,,,,,,,,
IROQUOIS COUNTY,75,1993,"17,474","16,609",865,5.0,,,,,,,,,,,,,,
JACKSON COUNTY,77,1993,"29,702","27,768","1,934",6.5,,,,,,,,,,,,,,
JASPER COUNTY,79,1993,"4,979","4,671",308,6.2,,,,,,,,,,,,,,
JEFFERSON COUNTY,81,1993,"18,117","16,431","1,686",9.3,,,,,,,,,,,,,,
JERSEY COUNTY,83,1993,"10,420","9,617",803,7.7,,,,,,,,,,,,,,
JO DAVIESS COUNTY,85,1993,"12,959","12,382",577,4.5,,,,,,,,,,,,,,
JOHNSON COUNTY,87,1993,"4,403","3,886",517,11.7,,,,,,,,,,,,,,
KANE COUNTY,89,1993,"185,224","171,508","13,716",7.4,,,,,,,,,,,,,,
KANKAKEE COUNTY,91,1993,"50,361","46,662","3,699",7.3,,,,,,,,,,,,,,
KENDALL COUNTY,93,1993,"23,462","22,152","1,310",5.6,,,,,,,,,,,,,,
KNOX COUNTY,95,1993,"29,571","27,774","1,797",6.1,,,,,,,,,,,,,,
LAKE COUNTY,97,1993,"296,228","281,108","15,120",5.1,,,,,,,,,,,,,,
LASALLE COUNTY,99,1993,"55,732","50,529","5,203",9.3,,,,,,,,,,,,,,
LAWRENCE COUNTY,101,1993,"7,248","6,714",534,7.4,,,,,,,,,,,,,,
LEE COUNTY,103,1993,"17,207","16,185","1,022",5.9,,,,,,,,,,,,,,
LIVINGSTON COUNTY,105,1993,"20,219","19,332",887,4.4,,,,,,,,,,,,,,
LOGAN COUNTY,107,1993,"13,632","12,877",755,5.5,,,,,,,,,,,,,,
MCDONOUGH COUNTY,109,1993,"18,619","18,031",588,3.2,,,,,,,,,,,,,,
MCHENRY COUNTY,111,1993,"115,325","107,773","7,552",6.5,,,,,,,,,,,,,,
MCLEAN COUNTY,113,1993,"77,113","74,337","2,776",3.6,,,,,,,,,,,,,,
MACON COUNTY,115,1993,"60,810","55,596","5,214",8.6,,,,,,,,,,,,,,
MACOUPIN COUNTY,117,1993,"23,551","21,733","1,818",7.7,,,,,,,,,,,,,,
MADISON COUNTY,119,1993,"126,392","117,801","8,591",6.8,,,,,,,,,,,,,,
MARION COUNTY,121,1993,"21,246","19,117","2,129",10.0,,,,,,,,,,,,,,
MARSHALL COUNTY,123,1993,"6,631","6,265",366,5.5,,,,,,,,,,,,,,
MASON COUNTY,125,1993,"8,246","7,489",757,9.2,,,,,,,,,,,,,,
MASSAC COUNTY,127,1993,"7,724","7,219",505,6.5,,,,,,,,,,,,,,
MENARD COUNTY,129,1993,"6,129","5,838",291,4.7,,,,,,,,,,,,,,
MERCER COUNTY,131,1993,"8,843","8,170",673,7.6,,,,,,,,,,,,,,
MONROE COUNTY,133,1993,"12,495","11,861",634,5.1,,,,,,,,,,,,,,
MONTGOMERY COUNTY,135,1993,"14,541","13,238","1,303",9.0,,,,,,,,,,,,,,
MORGAN COUNTY,137,1993,"18,908","17,996",912,4.8,,,,,,,,,,,,,,
MOULTRIE COUNTY,139,1993,"7,927","7,448",479,6.0,,,,,,,,,,,,,,
OGLE COUNTY,141,1993,"26,156","24,351","1,805",6.9,,,,,,,,,,,,,,
PEORIA COUNTY,143,1993,"92,465","86,752","5,713",6.2,,,,,,,,,,,,,,
PERRY COUNTY,145,1993,"8,288","7,014","1,274",15.4,,,,,,,,,,,,,,
PIATT COUNTY,147,1993,"8,649","8,086",563,6.5,,,,,,,,,,,,,,
PIKE COUNTY,149,1993,"8,896","8,263",633,7.1,,,,,,,,,,,,,,
POPE COUNTY,151,1993,"1,686","1,481",205,12.2,,,,,,,,,,,,,,
PULASKI COUNTY,153,1993,"2,975","2,592",383,12.9,,,,,,,,,,,,,,
PUTNAM COUNTY,155,1993,"3,094","2,863",231,7.5,,,,,,,,,,,,,,
RANDOLPH COUNTY,157,1993,"15,136","13,636","1,500",9.9,,,,,,,,,,,,,,
RICHLAND COUNTY,159,1993,"9,901","9,461",440,4.4,,,,,,,,,,,,,,
ROCK ISLAND COUNTY,161,1993,"75,191","70,343","4,848",6.4,,,,,,,,,,,,,,
ST. CLAIR COUNTY,163,1993,"117,480","108,975","8,505",7.2,,,,,,,,,,,,,,
SALINE COUNTY,165,1993,"11,239","9,628","1,611",14.3,,,,,,,,,,,,,,
SANGAMON COUNTY,167,1993,"102,535","97,832","4,703",4.6,,,,,,,,,,,,,,
SCHUYLER COUNTY,169,1993,"3,697","3,461",236,6.4,,,,,,,,,,,,,,
SCOTT COUNTY,171,1993,"2,845","2,660",185,6.5,,,,,,,,,,,,,,
SHELBY COUNTY,173,1993,"10,998","10,279",719,6.5,,,,,,,,,,,,,,
STARK COUNTY,175,1993,"2,848","2,646",202,7.1,,,,,,,,,,,,,,
STEPHENSON COUNTY,177,1993,"26,326","24,727","1,599",6.1,,,,,,,,,,,,,,
TAZEWELL COUNTY,179,1993,"66,220","62,175","4,045",6.1,,,,,,,,,,,,,,
UNION COUNTY,181,1993,"8,546","7,369","1,177",13.8,,,,,,,,,,,,,,
VERMILION COUNTY,183,1993,"41,917","37,853","4,064",9.7,,,,,,,,,,,,,,
WABASH COUNTY,185,1993,"6,159","5,612",547,8.9,,,,,,,,,,,,,,
WARREN COUNTY,187,1993,"10,112","9,483",629,6.2,,,,,,,,,,,,,,
WASHINGTON COUNTY,189,1993,"7,915","7,430",485,6.1,,,,,,,,,,,,,,
WAYNE COUNTY,191,1993,"8,223","7,543",680,8.3,,,,,,,,,,,,,,
WHITE COUNTY,193,1993,"7,561","6,833",728,9.6,,,,,,,,,,,,,,
WHITESIDE COUNTY,195,1993,"31,119","29,271","1,848",5.9,,,,,,,,,,,,,,
WILL COUNTY,197,1993,"201,255","185,570","15,685",7.8,,,,,,,,,,,,,,
WILLIAMSON COUNTY,199,1993,"27,552","24,465","3,087",11.2,,,,,,,,,,,,,,
WINNEBAGO COUNTY,201,1993,"143,982","133,052","10,930",7.6,,,,,,,,,,,,,,
WOODFORD COUNTY,203,1993,"17,361","16,717",644,3.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ADAMS COUNTY,1,1992,"34,640","32,289","2,351",6.8,,,,,,,,,,,,,,
ALEXANDER COUNTY,3,1992,"4,195","3,710",485,11.6,,,,,,,,,,,,,,
BOND COUNTY,5,1992,"7,556","6,926",630,8.3,,,,,,,,,,,,,,
BOONE COUNTY,7,1992,"18,750","16,759","1,991",10.6,,,,,,,,,,,,,,
